            Y1            X1          X2
1   -1.0565192  -6.236444072 0.961535473
2   -0.5754127  -3.873847866 0.505013003
3    5.0910630   5.640287147 0.717531739
4    2.9475637   1.191125266 0.307423122
5    2.9519538 -10.849768707 0.596059975
6    3.1685278   2.603705149 0.310955011
7    2.3995959  10.000887435 0.887984934
8    6.1910877   2.124320957 0.023614716
9    2.2101012   6.460292390 0.056910795
10  -0.7316911  -2.290658583 0.436117568
11   3.5660006   1.490947922 0.654808518
12   4.8893392   6.742286716 0.201270433
13   0.6271449   1.267579991 0.499101168
14   4.3753571   1.676316228 0.436451193
15   2.3028276   2.915048400 0.821277162
16   2.8909127  -3.053181886 0.253005735
17   0.2013487  -2.107534288 0.205534142
18   5.0461316  -0.189551851 0.982631542
19   3.5257101  -2.897278897 0.286876756
20   1.1998000   7.712371361 0.472225620
21   4.0618326  -2.389543206 0.853193644
22   3.7040380   1.419803543 0.087142011
23   7.0809875   8.769331453 0.636773451
24   1.9993663  -0.156191425 0.184850456
25   1.6934923  -1.628108856 0.218047097
26   3.9497637   3.082511694 0.188717987
27   3.1187228   2.146967827 0.199598252
28   1.1934733   3.001530983 0.126521460
29   2.2079746  -2.706923115 0.221001610
30   0.6124209  -1.416902577 0.011618979
31   3.5448064   5.007704842 0.626164422
32  -1.2154932 -11.207016848 0.504942955
33   3.9136648   8.094266101 0.776462671
34   6.1745630   3.395999901 0.214423801
35   0.3372995  -5.563943119 0.100137843
36   0.5916458  -7.501599511 0.299562353
37   2.4879137  -2.675176301 0.732560962
38   1.9041054   7.392573762 0.569653332
39   1.8597880   3.870642374 0.654718871
40  -0.1139879   0.690113158 0.481926690
41   3.0094455   3.145125655 0.591157408
42   7.6524705   8.282822986 0.733242285
43   2.6048009   1.431357050 0.580342311
44   3.4313849   1.000915215 0.675302833
45   0.4644478   0.270708294 0.263515472
46  -0.2648175   0.979259576 0.853766423
47   4.0041045  -7.857378742 0.019413107
48   3.3793069   1.231549456 0.599278931
49   6.0140038  13.488167392 0.253533805
50   3.5655124   1.330296225 0.495264893
51   3.2490620   5.280465072 0.074329393
52   3.1898270   0.166068315 0.694115250
53   5.7724336   9.475534227 0.526367458
54   2.2127848   5.503546601 0.442791463
55   1.0719565   1.601292452 0.039838172
56   4.4711757   0.251611244 0.865548286
57   5.7934876  -0.275555413 0.593314641
58   2.2215117  -2.020656858 0.357499727
59   4.7417427   4.729409369 0.990324015
60   4.3900710   3.192060289 0.988963266
61   3.3172650   7.432563533 0.880433438
62  -0.2452407  -0.868074190 0.636927258
63   4.1234161  -5.595087314 0.840126000
64   0.3971698  -7.805581332 0.247643365
65   1.3990610 -10.096834681 0.417121577
66   2.9880461   5.779838479 0.685165711
67   1.8752379   1.946958795 0.252330715
68   1.7585916   5.483759520 0.145648653
69   1.2313287   6.431534266 0.077062738
70   0.3275038  -1.095889454 0.475040553
71   4.4892766  10.162216839 0.730578852
72   4.8371302  12.327630368 0.937796227
73   5.2021186   2.788309404 0.780171884
74   1.6758568   0.815205169 0.920314058
75   4.7468246   5.031757258 0.799613944
76   4.6588574   6.495192672 0.136779116
77   1.5111044   8.658996893 0.258492711
78   6.5278806   5.640161774 0.411774945
79   4.2505218   1.380647595 0.356137733
80   3.1857834   3.786338958 0.879755197
81   1.4945010  -0.001117238 0.068162384
82   2.5844722  -2.619499980 0.646815795
83   2.2182293  -5.387762467 0.491040553
84   1.1053458  -5.119377436 0.004667617
85   5.4213425   0.015586459 0.176901421
86   4.4284951   4.697627087 0.073263867
87   5.4700267   6.949626395 0.082794023
88   4.2352875   2.652329783 0.777635493
89   4.8152774   0.800335619 0.123193298
90   0.8296234  -6.970993335 0.095101526
91   1.3156071   0.768468931 0.450882906
92   0.7573019  -2.371807140 0.269936541
93   2.4259779  -4.619714590 0.586589353
94   2.9158515  -3.469303694 0.207101783
95  -0.4954966  -0.095349117 0.808381854
96   1.5485353   0.197809359 0.939001323
97   7.1335023   7.769020996 0.024986326
98   5.1484953  13.056289879 0.235003662
99   1.7506260   4.410955318 0.938931096
100  2.0154582   1.435224734 0.722727006
