customer_id	campaign	response	response_date	purchase	purchase_date	product_id	Rowid	age	age_youngest_child	average#balance#feed#index	branch	debt_equity	gender	bad_payment	gold_card	pension_plan	household_debt_to_equity_ratio	income	marital	members_in_household	months_current_account	months_customer	call_center_contacts	loan_accounts	number_products	number_transactions	non_worker_percentage	white_collar_percentage	rfm_score	X_random
139987	2	1	2006-07-30 00:00:00	1		421	2823	33	6	317	"Princeton"	33	"F"	0	0	0	52	88016.000000	"S"	5	9	"12"	3	0	2	1	14	33	7.699000	1
140030	2	1	2006-07-30 00:00:00	0		421	2768	36	2	140	"Catburg"	36	"F"	0	0	0	52	88016.000000	"M"	5	41	"48"	3	0	3	1	14	33	8.629000	1
140089	2	1	2006-07-24 00:00:00	0		421	2354	40	11	154	"Princeton"	40	"F"	0	0	0	52	88016.000000	"M"	5	20	"24"	3	0	4	2	14	33	13.354000	1
140097	2	1	2006-07-07 00:00:00	1		421	909	39	6	384	"Kingsville"	39	"M"	0	0	0	52	88016.000000	"U"	5	22	"24"	3	0	2	1	14	33	7.782330	3
139068	2	1	2006-07-04 00:00:00	0		183	659	35	5	104	"Catburg"	35	"F"	0	0	0	52	88016.000000	"S"	5	14	"24"	3	7	1	1	14	33	9.032330	1
139154	2	1	2006-07-26 00:00:00	1		421	2509	25	0	146	"Ravensville"	25	"M"	0	0	0	52	88016.000000	"S"	5	36	"48"	3	0	4	2	14	33	11.762300	3
139158	2	1	2006-07-04 00:00:00	1		421	660	42	16	248	"Ravensville"	42	"M"	0	0	0	52	88016.000000	"M"	5	27	"36"	3	1	4	2	14	33	12.204700	2
139169	2	1	2006-07-05 00:00:00	0		421	735	50	19	328	"Foxton"	50	"M"	0	0	0	52	88016.000000	"S"	4	7	"12"	3	0	5	3	14	33	10.361300	3
139220	2	1	2006-07-19 00:00:00	1		183	1891	43	9	410	"Queensbury"	43	"F"	0	0	0	52	88016.000000	"M"	5	18	"24"	3	1	4	18	14	33	25.343201	1
139261	2	1	2006-07-26 00:00:00	1		183	2512	38	9	487	"Ravensville"	38	"M"	0	0	0	52	88016.000000	"S"	5	40	"48"	3	0	4	25	14	33	31.815001	1
139416	2	1	2006-07-27 00:00:00	1		421	2525	21	0	317	"Princeton"	21	"F"	0	0	0	52	88016.000000	"S"	5	23	"36"	3	1	2	1	14	33	8.499000	2
139422	2	1	2006-07-16 00:00:00	1		421	1704	33	6	517	"Ravensville"	33	"M"	0	0	0	52	88016.000000	"S"	5	32	"36"	3	0	4	1	14	33	8.982330	2
139532	2	1	2006-07-26 00:00:00	0		421	2462	49	22	325	"Queensbury"	49	"M"	0	0	0	52	88016.000000	"S"	4	40	"48"	3	0	4	2	14	33	8.498000	2
139549	2	1	2006-07-24 00:00:00	1		421	2355	35	5	90	"Kingsville"	35	"M"	0	0	0	52	88016.000000	"U"	5	31	"36"	3	0	2	1	14	33	8.250670	2
139560	2	1	2006-07-03 00:00:00	0		183	596	34	6	201	"Catburg"	34	"F"	0	0	0	52	88016.000000	"U"	5	12	"24"	3	2	1	1	14	33	9.832330	2
139577	2	1	2006-07-08 00:00:00	1		183	1057	47	21	581	"Queensbury"	47	"M"	0	0	0	52	88016.000000	"M"	4	11	"24"	3	0	2	29	14	33	36.113602	2
139580	1	1	2006-04-16 00:00:00	1	2006-04-16 00:00:00		93	67	40	457	"Ravensville"	67	"M"	0	0	0	52	88016.000000	"S"	4	16	"24"	3	0	6	4	14	33	12.223700	3
139636	2	1	2006-07-13 00:00:00	1		421	1384	17	0	129	"Princeton"	17	"M"	0	0	0	52	88016.000000	"S"	5	27	"36"	3	1	3	1	14	33	12.629000	3
139647	2	1	2006-07-24 00:00:00	0		421	2295	53	24	100	"Kingsville"	53	"F"	0	0	0	52	88016.000000	"S"	4	10	"12"	3	1	5	3	14	33	10.066600	3
139649	2	1	2006-07-21 00:00:00	1		183	2040	57	25	825	"Princeton"	57	"F"	0	0	0	52	88016.000000	"U"	4	22	"24"	3	0	5	10	14	33	17.991100	2
139665	2	1	2006-07-12 00:00:00	0		421	1366	34	10	1081	"Catburg"	34	"F"	0	0	0	52	88016.000000	"M"	5	20	"24"	3	1	2	1	14	33	11.782300	3
139667	1	1	2006-05-24 00:00:00	1	2006-05-24 00:00:00		401	47	13	159	"Ravensville"	47	"F"	0	0	0	52	88016.000000	"M"	5	28	"36"	3	3	2	1	14	33	8.525670	2
139696	2	1	2006-07-17 00:00:00	1		421	1727	22	0	164	"Queensbury"	22	"F"	0	0	0	52	88016.000000	"S"	5	21	"24"	3	0	2	2	14	33	10.782300	2
139752	1	1	2006-05-02 00:00:00	1	2006-05-02 00:00:00		225	36	11	419	"Kingsville"	36	"F"	0	0	0	52	88016.000000	"S"	5	10	"12"	3	0	3	3	14	33	11.467000	1
139832	2	1	2006-07-30 00:00:00	0		421	2830	40	11	114	"Foxton"	40	"F"	0	0	0	52	88016.000000	"S"	5	33	"36"	3	1	3	2	14	33	9.180660	3
139859	2	1	2006-07-28 00:00:00	0		183	2612	51	21	205	"Foxton"	51	"F"	0	0	0	52	88016.000000	"S"	4	34	"36"	3	0	2	1	14	33	12.055700	3
139881	1	1	2006-05-10 00:00:00	1	2006-05-10 00:00:00		290	48	18	180	"Catburg"	48	"M"	0	0	0	52	88016.000000	"M"	5	9	"12"	3	2	1	1	14	33	8.992330	1
