             Y1          X1          X2         X4
1    3.39439469  3.44210061 0.328670754 2.53146830
2    2.78320563 -1.91393482 0.607057190 3.24282288
3    5.33278700 13.90926185 0.578029741 2.63121190
4    4.44670908  3.04607808 0.708499656 3.88339986
5    5.54353376  4.40478416 0.291207707 4.31648308
6    3.91657055 -4.65693966 0.168617070 4.26744683
7    6.19348743  0.81884746 0.374369130 5.54974765
8    5.34784742  1.10748340 0.021261873 4.20850475
9    0.69923199  6.03483753 0.955379719 0.38215189
10   2.97319113  4.45488617 0.030225386 1.81209015
11   5.21526947  0.97502304 0.920738113 5.16829525
12   6.33745565  4.41067701 0.029641471 4.81185659
13   2.07786781  3.90135971 0.337868873 1.33514755
14   2.82128932  7.21644272 0.148105393 1.25924216
15   5.00822961  7.67595371 0.312789422 3.12511577
16   1.76462314  4.52639671 0.913624864 1.56544995
17   4.35364885 -3.75557414 0.886677592 5.15467104
18   5.58443202  0.45294178 0.679724733 5.07188989
19   6.16834760  0.16787891 0.495206383 5.59808255
20   5.95052483  9.65649679 0.368004214 3.74720169
21   6.12847847  0.94224728 0.631592827 5.65263713
22   3.00770313 -1.25445672 0.381312547 3.15252502
23   8.36509399 11.88040948 0.475028202 5.59001128
24   3.99661964  9.84679890 0.314814214 1.92592569
25  -0.17281484  1.43103751 0.880916620 0.35236665
26   6.24789058  4.55352062 0.479830142 4.99193206
27   0.24054451 -3.70335155 0.614603314 1.44584133
28   4.40480036  4.92533799 0.528786858 3.21151474
29   1.77491347 -0.81642039 0.406021390 1.96240856
30   1.34143538  1.27844985 0.489532242 1.39581290
31   4.04452625 -2.18708215 0.806200393 4.52248016
32  -1.92042757 -8.64192716 0.220415849 0.08816634
33  -0.75473467 -4.99523104 0.827490179 0.93099607
34   7.39763127  6.21158961 0.125492114 5.45019685
35   0.89102979 -4.74761978 0.692107662 2.07684306
36   0.52636860 -0.99121238 0.110592837 0.64423713
37   1.86526419 -2.77916170 0.935355402 2.77414216
38  -0.07740327  1.27539305 0.614551630 0.24582065
39   0.76664265  4.96754433 0.341575611 0.13663024
40  -0.42415988  0.30364832 0.316906836 0.12676273
41   3.49718658 -2.79747614 0.422733117 3.76909325
42   6.95389469  4.96933095 0.494230598 5.59769224
43   3.32099713  2.57137730 0.330139326 2.53205573
44   4.84552913  9.17003513 0.930193474 3.37207739
45   5.51525094  1.56220312 0.818885619 5.12755425
46   6.80634798  7.03946013 0.593654316 5.03746173
47   0.40885179  0.09183312 0.486019466 0.79440779
48   1.30925184  6.67545080 0.140248993 0.05609960
49   3.21974135  2.52116583 0.405474791 2.56218992
50   1.51253982 -0.67427190 0.949452530 2.17978101
51   6.25256428  2.35390839 0.001428606 4.80057144
52   0.90868434  3.20090903 0.780634804 0.91225392
53   1.89812351 10.44823967 0.551986176 0.22079447
54   5.60391478  7.12074589 0.185268569 3.67410743
55   4.68382286 -0.09869537 0.437568061 4.37502722
56   1.74892386  1.81506647 0.288277087 1.31531083
57   3.45224497  5.82488269 0.997114142 2.79884566
58   4.25375512 -5.50412893 0.458249628 4.98329985
59   0.56223262  3.07007156 0.129960759 0.05198430
60   0.98537929  3.22373769 0.855444828 0.94217793
61   2.49123247  7.88463712 0.793825612 1.51753024
62   4.37109551  5.16664194 0.074340307 3.02973612
63   1.41577894  5.86972497 0.715852078 0.88634083
64   4.47111331  4.02353578 0.965329490 3.98613180
65   4.62506457  6.41996987 0.490736927 3.19629477
66   3.55297062 14.57577052 0.201890857 0.68075634
67   6.50696642  2.64564842 0.659017676 5.66360707
68   2.64567491  6.72086038 0.358496479 1.34339859
69   4.75690576  7.76906036 0.809560545 3.32382422
70   1.37766323 -4.28196503 0.817815752 2.72712630
71   1.50345971  1.62402233 0.418395683 1.36735827
72   5.50276879  0.11041965 0.196470227 4.87858809
73   1.68670538 -2.04679564 0.267111063 1.90684443
74   1.42704702 -1.95209011 0.486237546 1.99449502
75   3.85081366 -1.14344054 0.269145250 3.70765810
76   1.86810880 -1.18943353 0.215781966 1.88631279
77   4.95636744  6.59915218 0.014332878 3.00573315
78   0.83984603  5.40030814 0.635958683 0.25438347
79   5.01534046  1.62019794 0.407138679 4.36285547
80   4.90775370  2.06805893 0.881195948 4.55247838
81   5.31072428 11.33630211 0.494560712 3.19782428
82  -0.61008879 -4.67234818 0.474980023 0.78999201
83   3.46057409  2.91247999 0.912169443 3.36486778
84   6.51506196  5.25627621 0.483842393 4.99353696
85   1.08814872  3.29829426 0.701880136 0.88075205
86   3.95520721 -0.22288660 0.621702373 3.84868095
87   1.22808838  4.29029871 0.807912466 0.92316499
88   4.01025843  1.04492503 0.758924274 3.90356971
89   0.47620348 -1.05354090 0.126917350 0.65076694
90   0.17773539  1.95208233 0.555080371 0.22203215
91   3.16049374  2.90733364 0.694213532 2.67768541
92  -0.01629514  2.13499719 0.732553704 0.29302148
93   4.31351820  7.91095508 0.207685589 2.48307424
94   3.87521209  6.62893988 0.240005165 2.49600207
95   7.05247308  6.20504910 0.608488131 5.64339525
96   4.94730367 -1.31305434 0.476961544 4.99078462
97   6.22780905  6.48344570 0.952789093 5.18111564
98   4.87982053  2.26452366 0.771078086 4.50843123
99   6.67182529  6.22908787 0.094475480 4.83779019
100  3.34030206  3.77546941 0.793750265 2.71750011
