"t" "x"
"1" -3.88409388980715
"2" 4.08839297811476
"3" -3.93768087642603
"4" 2.66517895027747
"5" -0.879199600784921
"6" 1.90327627223196
"7" -1.49281463819783
"8" 0.200300175825128
"9" -0.377031544406069
"10" 1.37898192407827
"11" 1.03399080042859
"12" -0.186169783329871
"13" 1.31158351898142
"14" -1.45199668312054
"15" -0.0392381668427427
"16" -0.111295509261537
"17" 1.49062743599174
"18" -1.83995984840111
"19" 1.02786546987948
"20" 0.398962130247472
"21" -1.92783170276881
"22" 1.4704894035508
"23" -2.58318186629614
"24" 4.00078168966625
"25" -2.89009884009491
"26" 3.30201327993063
"27" -1.34208580833089
"28" 2.40351797107568
"29" -3.04766288901058
"30" 2.77674377281241
"31" -2.48895114605022
"32" 4.9424942623241
"33" -4.26200716193296
"34" 2.25404969596922
"35" -2.6027522811971
"36" 0.469453262097026
"37" 0.516048284618053
"38" -1.53454770495041
"39" 1.7160121422491
"40" -1.2167995230418
"41" 2.52404895861793
"42" -1.98095770914429
"43" 1.90278639935764
"44" -1.50073254532975
"45" 1.10073087116854
"46" -2.10145152112299
"47" 2.84191615974867
"48" -5.21945402484252
"49" 4.94903703099414
"50" -5.39740934999048
"51" 4.30393283855217
"52" -4.16002474157735
"53" 3.09408740210969
"54" -3.56864508302861
"55" 2.99038976600217
"56" -3.44675503149309
"57" 3.27763133079412
"58" -3.55620777723116
"59" 3.77349387001234
"60" -2.3429260543927
"61" 3.75251527997981
"62" -2.56365097602443
"63" 0.822225117563362
"64" -0.128853273751907
"65" -0.218754295122139
"66" -1.47543952764335
"67" 1.89096201856119
"68" -2.53158937664461
"69" 2.06785688054545
"70" -1.05795755935033
"71" 3.55797714646351
"72" -2.88040944915658
"73" 3.01303288787136
"74" -2.429867092195
"75" 4.50683088304668
"76" -4.26738666548393
"77" 3.39081782606374
"78" -2.89202013793018
"79" 0.212949672831323
"80" -2.11346836220589
"81" 0.830402214501773
"82" 1.22186470885704
"83" 0.0185066820011445
"84" 1.1483298580511
"85" -1.89677799724763
"86" 2.43511827568226
"87" -2.36473372172347
"88" 5.31140782663737
"89" -3.97981871870961
"90" 2.072548881521
"91" -1.38642569422313
"92" 2.9208692500799
"93" -3.49821632382001
"94" 2.59668609119977
"95" -2.95237605555007
"96" 1.86460784704086
"97" -0.21106914327733
"98" 3.05124178408063
"99" -3.06008369339677
"100" 2.62799831136128
